Date,Adj Close
8/8/19,132.458817
8/9/19,131.33342
8/12/19,129.502319
8/13/19,132.182236
8/14/19,128.20166
8/15/19,127.914551
8/16/19,130.258911
8/19/19,132.440598
8/20/19,131.340164
8/21/19,132.804184
8/22/19,131.837753
8/23/19,127.63707
8/26/19,129.608215
8/27/19,129.885757
8/28/19,129.713501
8/29/19,132.163101
8/30/19,131.914307
9/3/19,130.172775
9/4/19,131.694244
9/5/19,134.009842
9/6/19,133.100845
9/9/19,131.588974
9/10/19,130.21106
9/11/19,130.249313
9/12/19,131.588974
9/13/19,131.397614
9/16/19,130.450272
9/17/19,131.464569
9/18/19,132.545837
9/19/19,134.98587
9/20/19,133.426178
9/23/19,133.139084
9/24/19,131.455002
9/25/19,133.349579
9/26/19,133.521851
9/27/19,131.789886
9/30/19,133.033829
10/1/19,131.158386
10/2/19,128.842743
10/3/19,130.402435
10/4/19,132.163101
10/7/19,131.206238
10/8/19,129.818756
10/9/19,132.277939
10/10/19,133.100845
10/11/19,133.655792
10/14/19,133.531403
10/15/19,135.464294
10/16/19,134.354309
10/17/19,133.665359
10/18/19,131.483719
10/21/19,132.459717
10/22/19,130.488525
10/23/19,131.321045
10/24/19,133.904602
10/25/19,134.660492
10/28/19,137.971283
10/29/19,136.669968
10/30/19,138.37323
10/31/19,137.18663
11/1/19,137.521576
11/4/19,138.315781
11/5/19,138.22963
11/6/19,137.846939
11/7/19,138.0383
11/8/19,139.665009
11/11/19,139.808456
11/12/19,140.727097
11/13/19,140.956726
11/14/19,141.674393
11/15/19,143.502014
11/18/19,143.856033
11/19/19,143.90387
11/20/19,143.654266
11/21/19,143.519882
11/22/19,143.625427
11/25/19,145.200089
11/26/19,145.968185
11/27/19,146.246613
11/29/19,145.344101
12/2/19,143.587051
12/3/19,143.356644
12/4/19,143.875092
12/5/19,143.951889
12/6/19,145.699326
12/9/19,145.324921
12/10/19,145.104065
12/11/19,145.651306
12/12/19,147.129944
12/13/19,148.368484
12/16/19,149.328644
12/17/19,148.522095
12/18/19,148.214859
12/19/19,149.50148
12/20/19,151.133667
12/23/19,151.133667
12/24/19,151.104843
12/26/19,152.34346
12/27/19,152.621872
12/30/19,151.306503
12/31/19,151.412094
1/2/20,154.215698
1/3/20,152.29538
1/6/20,152.689072
1/7/20,151.29686
1/8/20,153.706787
1/9/20,155.627075
1/10/20,154.906967
1/13/20,156.769623
1/14/20,155.665466
1/15/20,156.673599
1/16/20,159.544388
1/17/20,160.437317
1/21/20,159.861191
1/22/20,159.093124
1/23/20,160.072449
1/24/20,158.459412
1/27/20,155.809464
1/28/20,158.862686
1/29/20,161.339813
1/30/20,165.890854
1/31/20,163.44249
2/3/20,167.427017
2/4/20,172.938156
2/5/20,172.726883
2/6/20,176.308182
